participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.setup_duration_minutes,player.setup_show_elapsed_minutes,player.setup_show_main_cards_collected,player.setup_show_click_feedback,player.setup_click_feedback_ms,player.setup_main_bonus_feedback_ms,player.setup_bonus_threshold_main_cards,player.setup_main_bonus_points,player.task_duration_minutes,player.num_screen_types,player.show_elapsed_minutes,player.show_main_cards_collected,player.show_click_feedback,player.click_feedback_ms,player.main_bonus_feedback_ms,player.bonus_threshold_main_cards,player.main_bonus_points,player.inactivity_seconds,player.screen_type_index,player.visible_card_count,player.card_ids_json,player.card_order_json,player.card_params_json,player.chosen_card_id,player.chosen_card_position,player.chosen_is_main,player.chosen_x,player.chosen_y,player.chosen_z,player.response_time_ms,player.task_elapsed_ms,player.main_cards_collected,player.points_before,player.card_points_added,player.multiplier_applied,player.multiplier_y,player.multiplier_z,player.main_bonus_triggered_this_round,player.main_bonus_points_added,player.points_after,player.timed_out_inactive,player.timed_out_task_duration,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,oseb1fdu,,0,270,24000,card_stacking,Results,2026-07-09 14:58:50.415321,1,,,0.0,1,,0.0,1.0,1,1,1,600,1000,55,1650.0,1.0,50,1,1,1,600,1000,5,150.0,30,26,5,"[""main"", ""side_1"", ""side_2"", ""side_3"", ""side_4""]","[{""id"": ""main"", ""position"": 1}, {""id"": ""side_1"", ""position"": 2}, {""id"": ""side_2"", ""position"": 3}, {""id"": ""side_3"", ""position"": 4}, {""id"": ""side_4"", ""position"": 5}]","[{""color_id"": ""amber"", ""label"": ""Amber card"", ""color"": ""#f59e0b"", ""round_number"": 3, ""screen_type_index"": 26, ""id"": ""main"", ""is_main"": true, ""x"": null, ""y"": null, ""z"": null, ""display_x"": """", ""display_y"": """", ""display_z"": """", ""position"": 1}, {""color_id"": ""rose"", ""label"": ""Rose card"", ""color"": ""#e11d48"", ""round_number"": 3, ""screen_type_index"": 26, ""id"": ""side_1"", ""is_main"": false, ""x"": 6.0, ""y"": 14.0, ""z"": 2.0, ""display_x"": ""6"", ""display_y"": ""14"", ""display_z"": ""2"", ""position"": 2}, {""color_id"": ""green"", ""label"": ""Green card"", ""color"": ""#16a34a"", ""round_number"": 3, ""screen_type_index"": 26, ""id"": ""side_2"", ""is_main"": false, ""x"": 7.0, ""y"": 16.0, ""z"": 3.0, ""display_x"": ""7"", ""display_y"": ""16"", ""display_z"": ""3"", ""position"": 3}, {""color_id"": ""blue"", ""label"": ""Blue card"", ""color"": ""#2563eb"", ""round_number"": 3, ""screen_type_index"": 26, ""id"": ""side_3"", ""is_main"": false, ""x"": 8.0, ""y"": 18.0, ""z"": 4.0, ""display_x"": ""8"", ""display_y"": ""18"", ""display_z"": ""4"", ""position"": 4}, {""color_id"": ""violet"", ""label"": ""Violet card"", ""color"": ""#7c3aed"", ""round_number"": 3, ""screen_type_index"": 26, ""id"": ""side_4"", ""is_main"": false, ""x"": 9.0, ""y"": 20.0, ""z"": 1.0, ""display_x"": ""9"", ""display_y"": ""20"", ""display_z"": ""1"", ""position"": 5}]",side_1,2,0,6.0,14.0,2.0,438,3673,0,17.0,6.0,0,14.0,2.0,0,0.0,23.0,0,0,1,3,p5rk8yvz,,,,,0
2,wsqf47bt,,0,0,24000,,,,0,,,0.0,2,,0.0,1.0,1,1,1,600,1000,55,1650.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,1,3,p5rk8yvz,,,,,0
3,0c174s2y,,0,0,24000,,,,0,,,0.0,3,,0.0,1.0,1,1,1,600,1000,55,1650.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,1,3,p5rk8yvz,,,,,0
4,1tx9ovsc,,0,0,24000,,,,0,,,0.0,4,,0.0,1.0,1,1,1,600,1000,55,1650.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,1,3,p5rk8yvz,,,,,0
5,xp3qn28c,,0,0,24000,,,,0,,,0.0,5,,0.0,1.0,1,1,1,600,1000,55,1650.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,1,3,p5rk8yvz,,,,,0
1,oseb1fdu,,0,270,24000,card_stacking,Results,2026-07-09 14:58:50.415321,1,,,0.0,1,,0.0,1.0,1,1,1,600,1000,55,1650.0,1.0,50,1,1,1,600,1000,5,150.0,30,28,5,"[""main"", ""side_1"", ""side_2"", ""side_3"", ""side_4""]","[{""id"": ""main"", ""position"": 1}, {""id"": ""side_1"", ""position"": 2}, {""id"": ""side_2"", ""position"": 3}, {""id"": ""side_3"", ""position"": 4}, {""id"": ""side_4"", ""position"": 5}]","[{""color_id"": ""amber"", ""label"": ""Amber card"", ""color"": ""#f59e0b"", ""round_number"": 4, ""screen_type_index"": 28, ""id"": ""main"", ""is_main"": true, ""x"": null, ""y"": null, ""z"": null, ""display_x"": """", ""display_y"": """", ""display_z"": """", ""position"": 1}, {""color_id"": ""rose"", ""label"": ""Rose card"", ""color"": ""#e11d48"", ""round_number"": 4, ""screen_type_index"": 28, ""id"": ""side_1"", ""is_main"": false, ""x"": 8.0, ""y"": 16.0, ""z"": 4.0, ""display_x"": ""8"", ""display_y"": ""16"", ""display_z"": ""4"", ""position"": 2}, {""color_id"": ""green"", ""label"": ""Green card"", ""color"": ""#16a34a"", ""round_number"": 4, ""screen_type_index"": 28, ""id"": ""side_2"", ""is_main"": false, ""x"": 9.0, ""y"": 18.0, ""z"": 1.0, ""display_x"": ""9"", ""display_y"": ""18"", ""display_z"": ""1"", ""position"": 3}, {""color_id"": ""blue"", ""label"": ""Blue card"", ""color"": ""#2563eb"", ""round_number"": 4, ""screen_type_index"": 28, ""id"": ""side_3"", ""is_main"": false, ""x"": 10.0, ""y"": 20.0, ""z"": 2.0, ""display_x"": ""10"", ""display_y"": ""20"", ""display_z"": ""2"", ""position"": 4}, {""color_id"": ""violet"", ""label"": ""Violet card"", ""color"": ""#7c3aed"", ""round_number"": 4, ""screen_type_index"": 28, ""id"": ""side_4"", ""is_main"": false, ""x"": 11.0, ""y"": 22.0, ""z"": 3.0, ""display_x"": ""11"", ""display_y"": ""22"", ""display_z"": ""3"", ""position"": 5}]",main,1,1,,,,358,4689,1,23.0,0.0,0,,,0,0.0,23.0,0,0,1,4,p5rk8yvz,,,,,0
2,wsqf47bt,,0,0,24000,,,,0,,,0.0,2,,0.0,1.0,1,1,1,600,1000,55,1650.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,1,4,p5rk8yvz,,,,,0
3,0c174s2y,,0,0,24000,,,,0,,,0.0,3,,0.0,1.0,1,1,1,600,1000,55,1650.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,1,4,p5rk8yvz,,,,,0
4,1tx9ovsc,,0,0,24000,,,,0,,,0.0,4,,0.0,1.0,1,1,1,600,1000,55,1650.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,1,4,p5rk8yvz,,,,,0
5,xp3qn28c,,0,0,24000,,,,0,,,0.0,5,,0.0,1.0,1,1,1,600,1000,55,1650.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,1,4,p5rk8yvz,,,,,0
1,oseb1fdu,,0,270,24000,card_stacking,Results,2026-07-09 14:58:50.415321,1,,,0.0,1,,0.0,1.0,1,1,1,600,1000,55,1650.0,1.0,50,1,1,1,600,1000,5,150.0,30,20,5,"[""main"", ""side_1"", ""side_2"", ""side_3"", ""side_4""]","[{""id"": ""main"", ""position"": 1}, {""id"": ""side_1"", ""position"": 2}, {""id"": ""side_2"", ""position"": 3}, {""id"": ""side_3"", ""position"": 4}, {""id"": ""side_4"", ""position"": 5}]","[{""color_id"": ""amber"", ""label"": ""Amber card"", ""color"": ""#f59e0b"", ""round_number"": 5, ""screen_type_index"": 20, ""id"": ""main"", ""is_main"": true, ""x"": null, ""y"": null, ""z"": null, ""display_x"": """", ""display_y"": """", ""display_z"": """", ""position"": 1}, {""color_id"": ""rose"", ""label"": ""Rose card"", ""color"": ""#e11d48"", ""round_number"": 5, ""screen_type_index"": 20, ""id"": ""side_1"", ""is_main"": false, ""x"": 8.0, ""y"": 29.0, ""z"": 4.0, ""display_x"": ""8"", ""display_y"": ""29"", ""display_z"": ""4"", ""position"": 2}, {""color_id"": ""green"", ""label"": ""Green card"", ""color"": ""#16a34a"", ""round_number"": 5, ""screen_type_index"": 20, ""id"": ""side_2"", ""is_main"": false, ""x"": 9.0, ""y"": 10.0, ""z"": 1.0, ""display_x"": ""9"", ""display_y"": ""10"", ""display_z"": ""1"", ""position"": 3}, {""color_id"": ""blue"", ""label"": ""Blue card"", ""color"": ""#2563eb"", ""round_number"": 5, ""screen_type_index"": 20, ""id"": ""side_3"", ""is_main"": false, ""x"": 10.0, ""y"": 12.0, ""z"": 2.0, ""display_x"": ""10"", ""display_y"": ""12"", ""display_z"": ""2"", ""position"": 4}, {""color_id"": ""violet"", ""label"": ""Violet card"", ""color"": ""#7c3aed"", ""round_number"": 5, ""screen_type_index"": 20, ""id"": ""side_4"", ""is_main"": false, ""x"": 11.0, ""y"": 14.0, ""z"": 3.0, ""display_x"": ""11"", ""display_y"": ""14"", ""display_z"": ""3"", ""position"": 5}]",main,1,1,,,,374,5723,2,23.0,0.0,0,,,0,0.0,23.0,0,0,1,5,p5rk8yvz,,,,,0
2,wsqf47bt,,0,0,24000,,,,0,,,0.0,2,,0.0,1.0,1,1,1,600,1000,55,1650.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,1,5,p5rk8yvz,,,,,0
3,0c174s2y,,0,0,24000,,,,0,,,0.0,3,,0.0,1.0,1,1,1,600,1000,55,1650.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,1,5,p5rk8yvz,,,,,0
4,1tx9ovsc,,0,0,24000,,,,0,,,0.0,4,,0.0,1.0,1,1,1,600,1000,55,1650.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,1,5,p5rk8yvz,,,,,0
5,xp3qn28c,,0,0,24000,,,,0,,,0.0,5,,0.0,1.0,1,1,1,600,1000,55,1650.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,1,5,p5rk8yvz,,,,,0
1,oseb1fdu,,0,270,24000,card_stacking,Results,2026-07-09 14:58:50.415321,1,,,0.0,1,,0.0,1.0,1,1,1,600,1000,55,1650.0,1.0,50,1,1,1,600,1000,5,150.0,30,18,5,"[""main"", ""side_1"", ""side_2"", ""side_3"", ""side_4""]","[{""id"": ""main"", ""position"": 1}, {""id"": ""side_1"", ""position"": 2}, {""id"": ""side_2"", ""position"": 3}, {""id"": ""side_3"", ""position"": 4}, {""id"": ""side_4"", ""position"": 5}]","[{""color_id"": ""amber"", ""label"": ""Amber card"", ""color"": ""#f59e0b"", ""round_number"": 6, ""screen_type_index"": 18, ""id"": ""main"", ""is_main"": true, ""x"": null, ""y"": null, ""z"": null, ""display_x"": """", ""display_y"": """", ""display_z"": """", ""position"": 1}, {""color_id"": ""rose"", ""label"": ""Rose card"", ""color"": ""#e11d48"", ""round_number"": 6, ""screen_type_index"": 18, ""id"": ""side_1"", ""is_main"": false, ""x"": 6.0, ""y"": 27.0, ""z"": 2.0, ""display_x"": ""6"", ""display_y"": ""27"", ""display_z"": ""2"", ""position"": 2}, {""color_id"": ""green"", ""label"": ""Green card"", ""color"": ""#16a34a"", ""round_number"": 6, ""screen_type_index"": 18, ""id"": ""side_2"", ""is_main"": false, ""x"": 7.0, ""y"": 29.0, ""z"": 3.0, ""display_x"": ""7"", ""display_y"": ""29"", ""display_z"": ""3"", ""position"": 3}, {""color_id"": ""blue"", ""label"": ""Blue card"", ""color"": ""#2563eb"", ""round_number"": 6, ""screen_type_index"": 18, ""id"": ""side_3"", ""is_main"": false, ""x"": 8.0, ""y"": 10.0, ""z"": 4.0, ""display_x"": ""8"", ""display_y"": ""10"", ""display_z"": ""4"", ""position"": 4}, {""color_id"": ""violet"", ""label"": ""Violet card"", ""color"": ""#7c3aed"", ""round_number"": 6, ""screen_type_index"": 18, ""id"": ""side_4"", ""is_main"": false, ""x"": 9.0, ""y"": 12.0, ""z"": 1.0, ""display_x"": ""9"", ""display_y"": ""12"", ""display_z"": ""1"", ""position"": 5}]",main,1,1,,,,323,6706,3,23.0,0.0,0,,,0,0.0,23.0,0,0,1,6,p5rk8yvz,,,,,0
2,wsqf47bt,,0,0,24000,,,,0,,,0.0,2,,0.0,1.0,1,1,1,600,1000,55,1650.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,1,6,p5rk8yvz,,,,,0
3,0c174s2y,,0,0,24000,,,,0,,,0.0,3,,0.0,1.0,1,1,1,600,1000,55,1650.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,1,6,p5rk8yvz,,,,,0
4,1tx9ovsc,,0,0,24000,,,,0,,,0.0,4,,0.0,1.0,1,1,1,600,1000,55,1650.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,1,6,p5rk8yvz,,,,,0
5,xp3qn28c,,0,0,24000,,,,0,,,0.0,5,,0.0,1.0,1,1,1,600,1000,55,1650.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,1,6,p5rk8yvz,,,,,0
1,oseb1fdu,,0,270,24000,card_stacking,Results,2026-07-09 14:58:50.415321,1,,,0.0,1,,0.0,1.0,1,1,1,600,1000,55,1650.0,1.0,50,1,1,1,600,1000,5,150.0,30,39,5,"[""main"", ""side_1"", ""side_2"", ""side_3"", ""side_4""]","[{""id"": ""main"", ""position"": 1}, {""id"": ""side_1"", ""position"": 2}, {""id"": ""side_2"", ""position"": 3}, {""id"": ""side_3"", ""position"": 4}, {""id"": ""side_4"", ""position"": 5}]","[{""color_id"": ""amber"", ""label"": ""Amber card"", ""color"": ""#f59e0b"", ""round_number"": 7, ""screen_type_index"": 39, ""id"": ""main"", ""is_main"": true, ""x"": null, ""y"": null, ""z"": null, ""display_x"": """", ""display_y"": """", ""display_z"": """", ""position"": 1}, {""color_id"": ""rose"", ""label"": ""Rose card"", ""color"": ""#e11d48"", ""round_number"": 7, ""screen_type_index"": 39, ""id"": ""side_1"", ""is_main"": false, ""x"": 11.0, ""y"": 27.0, ""z"": 3.0, ""display_x"": ""11"", ""display_y"": ""27"", ""display_z"": ""3"", ""position"": 2}, {""color_id"": ""green"", ""label"": ""Green card"", ""color"": ""#16a34a"", ""round_number"": 7, ""screen_type_index"": 39, ""id"": ""side_2"", ""is_main"": false, ""x"": 12.0, ""y"": 29.0, ""z"": 4.0, ""display_x"": ""12"", ""display_y"": ""29"", ""display_z"": ""4"", ""position"": 3}, {""color_id"": ""blue"", ""label"": ""Blue card"", ""color"": ""#2563eb"", ""round_number"": 7, ""screen_type_index"": 39, ""id"": ""side_3"", ""is_main"": false, ""x"": 5.0, ""y"": 10.0, ""z"": 1.0, ""display_x"": ""5"", ""display_y"": ""10"", ""display_z"": ""1"", ""position"": 4}, {""color_id"": ""violet"", ""label"": ""Violet card"", ""color"": ""#7c3aed"", ""round_number"": 7, ""screen_type_index"": 39, ""id"": ""side_4"", ""is_main"": false, ""x"": 6.0, ""y"": 12.0, ""z"": 2.0, ""display_x"": ""6"", ""display_y"": ""12"", ""display_z"": ""2"", ""position"": 5}]",main,1,1,,,,1514,8878,4,23.0,0.0,0,,,0,0.0,23.0,0,0,1,7,p5rk8yvz,,,,,0
2,wsqf47bt,,0,0,24000,,,,0,,,0.0,2,,0.0,1.0,1,1,1,600,1000,55,1650.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,1,7,p5rk8yvz,,,,,0
3,0c174s2y,,0,0,24000,,,,0,,,0.0,3,,0.0,1.0,1,1,1,600,1000,55,1650.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,1,7,p5rk8yvz,,,,,0
4,1tx9ovsc,,0,0,24000,,,,0,,,0.0,4,,0.0,1.0,1,1,1,600,1000,55,1650.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,1,7,p5rk8yvz,,,,,0
5,xp3qn28c,,0,0,24000,,,,0,,,0.0,5,,0.0,1.0,1,1,1,600,1000,55,1650.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,1,7,p5rk8yvz,,,,,0
1,oseb1fdu,,0,270,24000,card_stacking,Results,2026-07-09 14:58:50.415321,1,,,0.0,1,,0.0,1.0,1,1,1,600,1000,55,1650.0,1.0,50,1,1,1,600,1000,5,150.0,30,1,5,"[""main"", ""side_1"", ""side_2"", ""side_3"", ""side_4""]","[{""id"": ""main"", ""position"": 1}, {""id"": ""side_1"", ""position"": 2}, {""id"": ""side_2"", ""position"": 3}, {""id"": ""side_3"", ""position"": 4}, {""id"": ""side_4"", ""position"": 5}]","[{""color_id"": ""amber"", ""label"": ""Amber card"", ""color"": ""#f59e0b"", ""round_number"": 8, ""screen_type_index"": 1, ""id"": ""main"", ""is_main"": true, ""x"": null, ""y"": null, ""z"": null, ""display_x"": """", ""display_y"": """", ""display_z"": """", ""position"": 1}, {""color_id"": ""rose"", ""label"": ""Rose card"", ""color"": ""#e11d48"", ""round_number"": 8, ""screen_type_index"": 1, ""id"": ""side_1"", ""is_main"": false, ""x"": 5.0, ""y"": 10.0, ""z"": 1.0, ""display_x"": ""5"", ""display_y"": ""10"", ""display_z"": ""1"", ""position"": 2}, {""color_id"": ""green"", ""label"": ""Green card"", ""color"": ""#16a34a"", ""round_number"": 8, ""screen_type_index"": 1, ""id"": ""side_2"", ""is_main"": false, ""x"": 6.0, ""y"": 12.0, ""z"": 2.0, ""display_x"": ""6"", ""display_y"": ""12"", ""display_z"": ""2"", ""position"": 3}, {""color_id"": ""blue"", ""label"": ""Blue card"", ""color"": ""#2563eb"", ""round_number"": 8, ""screen_type_index"": 1, ""id"": ""side_3"", ""is_main"": false, ""x"": 7.0, ""y"": 14.0, ""z"": 3.0, ""display_x"": ""7"", ""display_y"": ""14"", ""display_z"": ""3"", ""position"": 4}, {""color_id"": ""violet"", ""label"": ""Violet card"", ""color"": ""#7c3aed"", ""round_number"": 8, ""screen_type_index"": 1, ""id"": ""side_4"", ""is_main"": false, ""x"": 8.0, ""y"": 16.0, ""z"": 4.0, ""display_x"": ""8"", ""display_y"": ""16"", ""display_z"": ""4"", ""position"": 5}]",main,1,1,,,,467,10004,5,23.0,0.0,0,,,1,150.0,173.0,0,0,1,8,p5rk8yvz,,,,,0
2,wsqf47bt,,0,0,24000,,,,0,,,0.0,2,,0.0,1.0,1,1,1,600,1000,55,1650.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,1,8,p5rk8yvz,,,,,0
3,0c174s2y,,0,0,24000,,,,0,,,0.0,3,,0.0,1.0,1,1,1,600,1000,55,1650.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,1,8,p5rk8yvz,,,,,0
4,1tx9ovsc,,0,0,24000,,,,0,,,0.0,4,,0.0,1.0,1,1,1,600,1000,55,1650.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,1,8,p5rk8yvz,,,,,0
5,xp3qn28c,,0,0,24000,,,,0,,,0.0,5,,0.0,1.0,1,1,1,600,1000,55,1650.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,1,8,p5rk8yvz,,,,,0
